Company,Method,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-4,Precision,Recall,F1-Score,Content-Noise-Ratio,Semantic-Coherence
impressum,jusText,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impressum,Trafilatura,4.375,4.367,4.375,0.0,5.0,3.824,4.333,3.868,5.0
impressum,Readability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impressum,Baseline,4.079,3.933,4.079,0.0,5.0,3.088,3.818,3.605,5.0
impressum,Ollama,3.865,3.602,3.804,0.0,3.909,3.162,3.496,3.868,5.0
unternehmen-jobs,jusText,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unternehmen-jobs,Trafilatura,4.718,4.716,4.718,0.0,5.0,4.365,4.661,5.0,4.778
unternehmen-jobs,Readability,4.718,4.716,4.718,0.0,5.0,4.365,4.661,5.0,4.778
unternehmen-jobs,Baseline,4.484,4.481,4.484,0.0,5.0,4.087,4.498,5.0,4.797
unternehmen-jobs,Ollama,0.386,0.26,0.343,0.0,1.087,0.397,0.581,4.889,5.0
unternehmen,jusText,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Trafilatura,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Readability,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Baseline,4.395,4.391,4.395,0.0,5.0,4.024,4.459,5.0,4.953
unternehmen,Ollama,2.099,2.0,2.099,0.0,3.067,1.87,2.323,5.0,5.0
konzept,jusText,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Trafilatura,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Readability,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Baseline,4.757,4.756,4.757,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Ollama,1.758,1.519,1.648,0.0,3.286,1.361,1.925,5.0,4.688
unternehmen-lebensraeume,jusText,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Trafilatura,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Readability,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Baseline,4.571,4.568,4.571,0.0,5.0,4.101,4.506,4.966,4.398
unternehmen-lebensraeume,Ollama,1.583,1.088,1.082,0.0,1.641,1.547,1.593,5.0,4.875
konzept-betreuung,jusText,3.321,3.308,3.321,0.0,5.0,2.602,3.422,5.0,4.6
konzept-betreuung,Trafilatura,4.697,4.695,4.697,0.0,5.0,4.39,4.675,5.0,4.537
konzept-betreuung,Readability,4.697,4.695,4.697,0.0,5.0,4.39,4.675,5.0,4.537
konzept-betreuung,Baseline,4.615,4.613,4.615,0.0,5.0,4.228,4.581,5.0,4.681
konzept-betreuung,Ollama,1.976,1.355,1.621,0.0,3.0,1.585,2.074,5.0,5.0
impressum,jusText,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impressum,Trafilatura,4.375,4.367,4.375,0.0,5.0,3.824,4.333,3.868,5.0
impressum,Readability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impressum,Baseline,4.079,3.933,4.079,0.0,5.0,3.088,3.818,3.605,5.0
impressum,Ollama,2.136,1.464,2.105,0.0,2.66,3.676,3.086,3.762,3.533
unternehmen-jobs,jusText,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unternehmen-jobs,Trafilatura,4.718,4.716,4.718,0.0,5.0,4.365,4.661,5.0,4.778
unternehmen-jobs,Readability,4.718,4.716,4.718,0.0,5.0,4.365,4.661,5.0,4.778
unternehmen-jobs,Baseline,4.484,4.481,4.484,0.0,5.0,4.087,4.498,5.0,4.797
unternehmen-jobs,Ollama,0.593,0.199,0.474,0.0,1.102,0.516,0.703,5.0,4.906
unternehmen,jusText,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Trafilatura,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Readability,4.699,4.697,4.699,0.0,5.0,4.35,4.652,5.0,4.931
unternehmen,Baseline,4.395,4.391,4.395,0.0,5.0,4.024,4.459,5.0,4.953
unternehmen,Ollama,0.795,0.633,0.795,0.0,1.518,0.691,0.95,5.0,5.0
konzept,jusText,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Trafilatura,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Readability,4.808,4.807,4.808,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Baseline,4.757,4.756,4.757,0.0,5.0,4.556,4.768,5.0,5.0
konzept,Ollama,1.676,1.366,1.59,0.0,3.582,1.42,2.034,5.0,4.525
unternehmen-lebensraeume,jusText,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Trafilatura,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Readability,4.731,4.73,4.731,0.0,5.0,4.388,4.674,4.969,4.375
unternehmen-lebensraeume,Baseline,4.571,4.568,4.571,0.0,5.0,4.101,4.506,4.966,4.398
unternehmen-lebensraeume,Ollama,1.483,1.073,1.293,0.0,2.984,1.331,1.841,5.0,5.0
konzept-betreuung,jusText,3.321,3.308,3.321,0.0,5.0,2.602,3.422,5.0,4.6
konzept-betreuung,Trafilatura,4.697,4.695,4.697,0.0,5.0,4.39,4.675,5.0,4.537
konzept-betreuung,Readability,4.697,4.695,4.697,0.0,5.0,4.39,4.675,5.0,4.537
konzept-betreuung,Baseline,4.615,4.613,4.615,0.0,5.0,4.228,4.581,5.0,4.681
konzept-betreuung,Ollama,1.491,1.416,1.491,0.0,2.9,1.179,1.676,5.0,4.875
datenschutzerklaerung,jusText,4.793,4.788,4.793,0.0,5.0,4.584,4.783,4.977,3.399
datenschutzerklaerung,Trafilatura,4.994,4.994,4.994,0.0,4.997,4.96,4.978,4.973,3.185
datenschutzerklaerung,Readability,4.994,4.994,4.994,0.0,5.0,4.96,4.98,4.973,3.181
datenschutzerklaerung,Baseline,4.793,4.776,4.793,0.0,5.0,4.755,4.874,4.971,3.177
datenschutzerklaerung,Ollama,0.193,0.186,0.193,0.0,3.926,0.319,0.59,4.938,5.0
_,jusText,4.49,4.486,4.49,0.0,5.0,3.978,4.431,5.0,4.5
_,Trafilatura,4.6,4.597,4.6,0.0,5.0,4.14,4.529,5.0,4.328
_,Readability,4.49,4.486,4.49,0.0,5.0,3.978,4.431,5.0,4.5
_,Baseline,4.444,4.44,4.444,0.0,5.0,3.978,4.431,5.0,4.771
_,Ollama,2.255,2.088,2.182,0.0,2.162,2.581,2.353,5.0,4.859
pflege-preise,jusText,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pflege-preise,Trafilatura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pflege-preise,Readability,3.0,2.917,3.0,0.0,5.0,2.143,3.0,5.0,3.125
pflege-preise,Baseline,2.708,2.609,2.708,0.0,5.0,2.143,3.0,5.0,3.083
pflege-preise,Ollama,1.096,0.833,1.027,0.0,0.764,1.964,1.1,3.881,4.385
anmeldung,jusText,3.484,3.464,3.484,0.0,5.0,2.763,3.559,4.808,4.312
